Year,Period,Geo_Level,State_ANSI,Commodity_ID,Value
2023,APR,STATE,1,7,"224,100,000"
2023,APR,STATE,5,7,"319,000,000"
2023,APR,STATE,6,7,"271,300,000"
2023,APR,STATE,8,7,"52,200,000"
2023,APR,STATE,13,7,"437,800,000"
2023,APR,STATE,17,7,"162,500,000"
2023,APR,STATE,18,7,"891,300,000"
2023,APR,STATE,19,7,"1,149,000,000"
2023,APR,STATE,21,7,"122,400,000"
2023,APR,STATE,24,7,"54,500,000"
2023,APR,STATE,26,7,"421,900,000"
2023,APR,STATE,27,7,"192,200,000"
2023,APR,STATE,28,7,"114,300,000"
2023,APR,STATE,29,7,"332,300,000"
2023,APR,STATE,31,7,"181,400,000"
2023,APR,STATE,36,7,"144,500,000"
2023,APR,STATE,37,7,"341,000,000"
2023,APR,STATE,39,7,"941,900,000"
2023,APR,STATE,40,7,"45,800,000"
2023,APR,STATE,41,7,"58,000,000"
2023,APR,STATE,,7,"747,300,000"
2023,APR,STATE,42,7,"635,500,000"
2023,APR,STATE,45,7,"80,900,000"
2023,APR,STATE,46,7,"30,900,000"
2023,APR,STATE,48,7,"528,200,000"
2023,APR,STATE,49,7,"150,800,000"
2023,APR,STATE,51,7,"62,800,000"
2023,APR,STATE,53,7,"142,300,000"
2023,APR,STATE,55,7,"194,900,000"
2023,FEB,STATE,1,7,"202,500,000"
2023,FEB,STATE,5,7,"298,900,000"
2023,FEB,STATE,6,7,"255,100,000"
2023,FEB,STATE,8,7,"39,600,000"
2023,FEB,STATE,13,7,"412,600,000"
2023,FEB,STATE,17,7,"148,500,000"
2023,FEB,STATE,18,7,"837,600,000"
2023,FEB,STATE,19,7,"997,500,000"
2023,FEB,STATE,21,7,"117,000,000"
2023,FEB,STATE,24,7,"51,800,000"
2023,FEB,STATE,26,7,"379,900,000"
2023,FEB,STATE,27,7,"184,300,000"
2023,FEB,STATE,28,7,"104,800,000"
2023,FEB,STATE,29,7,"312,600,000"
2023,FEB,STATE,31,7,"141,800,000"
2023,FEB,STATE,36,7,"134,900,000"
2023,FEB,STATE,37,7,"321,100,000"
2023,FEB,STATE,39,7,"842,700,000"
2023,FEB,STATE,40,7,"42,600,000"
2023,FEB,STATE,41,7,"51,100,000"
2023,FEB,STATE,,7,"689,100,000"
2023,FEB,STATE,42,7,"593,200,000"
2023,FEB,STATE,45,7,"82,200,000"
2023,FEB,STATE,46,7,"27,400,000"
2023,FEB,STATE,48,7,"488,300,000"
2023,FEB,STATE,49,7,"137,000,000"
2023,FEB,STATE,51,7,"59,000,000"
2023,FEB,STATE,53,7,"135,000,000"
2023,FEB,STATE,55,7,"139,100,000"
2023,JAN,STATE,1,7,"218,300,000"
2023,JAN,STATE,5,7,"335,900,000"
2023,JAN,STATE,6,7,"277,200,000"
2023,JAN,STATE,8,7,"44,100,000"
2023,JAN,STATE,13,7,"456,300,000"
2023,JAN,STATE,17,7,"162,400,000"
2023,JAN,STATE,18,7,"930,300,000"
2023,JAN,STATE,19,7,"1,056,800,000"
2023,JAN,STATE,21,7,"128,200,000"
2023,JAN,STATE,24,7,"58,500,000"
2023,JAN,STATE,26,7,"418,900,000"
2023,JAN,STATE,27,7,"212,500,000"
2023,JAN,STATE,28,7,"114,600,000"
2023,JAN,STATE,29,7,"351,400,000"
2023,JAN,STATE,31,7,"148,600,000"
2023,JAN,STATE,36,7,"149,900,000"
2023,JAN,STATE,37,7,"352,000,000"
