Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value
2022,YEAR,STATE,6,4,TOTAL,"377,839,000"
2022,YEAR,STATE,36,4,TOTAL,"793,256,000"
2021,YEAR,STATE,6,4,TOTAL,"374,637,000"
2021,YEAR,STATE,36,4,TOTAL,"774,881,000"
2020,YEAR,STATE,6,4,TOTAL,"354,906,000"
2020,YEAR,STATE,36,4,TOTAL,"722,922,000"
2019,YEAR,STATE,6,4,TOTAL,"373,760,000"
2019,YEAR,STATE,36,4,TOTAL,"679,190,000"
2019,YEAR,STATE,48,4,TOTAL,"37,769,000"
2018,YEAR,STATE,6,4,TOTAL,"415,150,000"
2018,YEAR,STATE,36,4,TOTAL,"691,044,000"
2018,YEAR,STATE,41,4,TOTAL,"41,753,000"
2018,YEAR,STATE,48,4,TOTAL,"31,569,000"
2017,YEAR,STATE,6,4,TOTAL,"442,423,000"
2017,YEAR,STATE,36,4,TOTAL,"706,923,000"
2017,YEAR,STATE,41,4,TOTAL,"49,157,000"
2017,YEAR,STATE,48,4,TOTAL,"34,323,000"
2016,YEAR,STATE,6,4,TOTAL,"394,899,000"
2016,YEAR,STATE,36,4,TOTAL,"676,792,000"
2016,YEAR,STATE,41,4,TOTAL,"52,438,000"
2016,YEAR,STATE,48,4,TOTAL,"50,792,000"
2015,YEAR,STATE,6,4,TOTAL,"465,665,000"
2015,YEAR,STATE,36,4,TOTAL,"669,254,000"
2015,YEAR,STATE,41,4,TOTAL,"55,346,000"
2015,YEAR,STATE,48,4,TOTAL,"94,126,000"
2014,YEAR,STATE,6,4,TOTAL, (D)
2014,YEAR,STATE,36,4,TOTAL,"663,917,000"
2014,YEAR,STATE,41,4,TOTAL,"59,208,000"
2014,YEAR,STATE,48,4,TOTAL, (D)
2009,YEAR,STATE,6,4,TOTAL,"620,171,000"
2009,YEAR,STATE,36,4,TOTAL,"251,604,000"
2009,YEAR,STATE,47,4,TOTAL,"284,295,000"
2009,YEAR,STATE,49,4,TOTAL,"244,252,000"
2009,YEAR,STATE,55,4,TOTAL,"173,178,000"
2008,YEAR,STATE,6,4,TOTAL,"581,768,000"
2008,YEAR,STATE,36,4,TOTAL,"224,988,000"
2008,YEAR,STATE,47,4,TOTAL,"258,078,000"
2008,YEAR,STATE,49,4,TOTAL,"208,897,000"
2008,YEAR,STATE,55,4,TOTAL,"162,847,000"
2007,YEAR,STATE,6,4,TOTAL,"559,921,000"
2007,YEAR,STATE,19,4,TOTAL,"21,300,000"
2007,YEAR,STATE,36,4,TOTAL,"234,740,000"
2007,YEAR,STATE,47,4,TOTAL,"193,536,000"
2007,YEAR,STATE,49,4,TOTAL,"140,948,000"
2007,YEAR,STATE,55,4,TOTAL,"147,282,000"
2006,YEAR,STATE,6,4,TOTAL,"543,345,000"
2006,YEAR,STATE,19,4,TOTAL,"25,520,000"
2006,YEAR,STATE,36,4,TOTAL,"236,987,000"
2006,YEAR,STATE,47,4,TOTAL,"155,331,000"
2006,YEAR,STATE,49,4,TOTAL,"163,713,000"
2006,YEAR,STATE,55,4,TOTAL,"144,534,000"
2005,YEAR,STATE,6,4,TOTAL,"511,990,000"
2005,YEAR,STATE,19,4,TOTAL,"17,412,000"
2005,YEAR,STATE,36,4,TOTAL,"232,307,000"
2005,YEAR,STATE,42,4,TOTAL,"931,000"
2005,YEAR,STATE,47,4,TOTAL,"99,595,000"
2005,YEAR,STATE,49,4,TOTAL,"171,509,000"
2005,YEAR,STATE,55,4,TOTAL,"124,974,000"
2004,YEAR,STATE,6,4,TOTAL,"454,302,000"
2004,YEAR,STATE,19,4,TOTAL,"13,984,000"
2004,YEAR,STATE,36,4,TOTAL,"227,795,000"
2004,YEAR,STATE,42,4,TOTAL,"807,000"
2004,YEAR,STATE,47,4,TOTAL,"38,949,000"
2004,YEAR,STATE,49,4,TOTAL,"165,503,000"
2004,YEAR,STATE,55,4,TOTAL,"98,012,000"
2003,YEAR,STATE,6,4,TOTAL,"479,226,000"
2003,YEAR,STATE,19,4,TOTAL,"13,847,000"
2003,YEAR,STATE,36,4,TOTAL,"261,740,000"
2003,YEAR,STATE,42,4,TOTAL,"687,000"
2003,YEAR,STATE,49,4,TOTAL,"122,209,000"
2003,YEAR,STATE,55,4,TOTAL,"81,460,000"
2002,YEAR,STATE,6,4,TOTAL,"454,483,000"
2002,YEAR,STATE,17,4,TOTAL,"14,392,000"
